ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.72,251.7,19.6,17.5,2.0,padi,110,5.503,low,ACEH,2021,nasa_power,seasonal_estimate,1634639.6,297058.38
0.72,300.3,21.9,17.5,2.0,padi,110,5.2,low,SUMATERA UTARA,2021,nasa_power,seasonal_estimate,2004142.51,385405.0
0.72,346.5,23.4,17.4,2.0,padi,110,4.836,low,SUMATERA BARAT,2021,nasa_power,seasonal_estimate,1317209.38,272391.95
0.72,261.3,26.1,17.5,2.0,padi,110,4.098,medium,RIAU,2021,nasa_power,seasonal_estimate,217458.87,53062.35
0.72,235.1,26.0,16.4,2.0,padi,110,4.629,low,JAMBI,2021,nasa_power,seasonal_estimate,298149.25,64412.26
0.72,264.9,25.9,17.8,2.0,padi,110,5.144,low,SUMATERA SELATAN,2021,nasa_power,seasonal_estimate,2552443.19,496241.65
0.72,316.2,26.0,17.4,2.0,padi,110,4.867,low,BENGKULU,2021,nasa_power,seasonal_estimate,271117.19,55704.69
0.72,199.3,26.8,16.8,2.0,padi,110,5.077,low,LAMPUNG,2021,nasa_power,seasonal_estimate,2485452.78,489573.23
0.72,211.0,27.4,16.9,2.0,padi,110,3.857,medium,KEPULAUAN BANGKA BELITUNG,2021,nasa_power,seasonal_estimate,70496.25,18278.27
0.72,164.6,27.9,17.4,2.0,padi,110,3.165,high,KEPULAUAN RIAU,2021,nasa_power,seasonal_estimate,855.01,270.16
0.77,242.4,27.3,16.8,2.0,padi,110,5.803,low,DAERAH KHUSUS IBUKOTA JAKARTA,2021,nasa_power,seasonal_estimate,3249.47,559.97
0.77,292.7,21.5,17.2,2.0,padi,110,5.681,low,JAWA BARAT,2021,nasa_power,seasonal_estimate,9113574.0,1604109.0
0.77,227.5,25.8,17.9,2.0,padi,110,5.669,low,JAWA TENGAH,2021,nasa_power,seasonal_estimate,9618656.81,1696712.36
0.77,234.8,26.0,17.9,2.0,padi,110,5.177,low,DAERAH ISTIMEWA YOGYAKARTA,2021,nasa_power,seasonal_estimate,556531.03,107506.16
0.77,200.7,26.5,18.1,2.0,padi,110,5.602,low,JAWA TIMUR,2021,nasa_power,seasonal_estimate,9789587.67,1747481.2
0.77,254.3,25.6,16.8,2.0,padi,110,5.038,low,BANTEN,2021,nasa_power,seasonal_estimate,1603247.0,318248.46
0.77,195.3,25.2,19.5,2.0,padi,110,5.883,low,BALI,2021,nasa_power,seasonal_estimate,618910.81,105201.31
0.72,151.8,26.2,19.9,2.0,padi,110,5.139,low,NUSA TENGGARA BARAT,2021,nasa_power,seasonal_estimate,1419559.84,276211.88
0.72,245.2,26.6,20.2,2.0,padi,110,4.185,medium,NUSA TENGGARA TIMUR,2021,nasa_power,seasonal_estimate,731877.74,174900.07
0.72,336.7,25.8,17.6,2.0,padi,110,3.19,high,KALIMANTAN BARAT,2021,nasa_power,seasonal_estimate,711897.0,223166.0
0.72,256.6,26.8,17.7,2.0,padi,110,3.028,high,KALIMANTAN TENGAH,2021,nasa_power,seasonal_estimate,381189.55,125870.05
0.72,269.6,26.4,16.4,2.0,padi,110,3.997,medium,KALIMANTAN SELATAN,2021,nasa_power,seasonal_estimate,1016314.0,254263.59
0.72,226.2,25.7,17.4,2.0,padi,110,3.692,medium,KALIMANTAN TIMUR,2021,nasa_power,seasonal_estimate,244677.96,66269.46
0.72,243.4,23.2,18.0,2.0,padi,110,3.374,high,KALIMANTAN UTARA,2021,nasa_power,seasonal_estimate,29967.31,8880.83
0.72,217.0,24.5,18.4,2.0,padi,110,3.935,medium,SULAWESI UTARA,2021,nasa_power,seasonal_estimate,232885.0,59182.0
0.72,208.8,21.7,16.9,2.0,padi,110,4.759,low,SULAWESI TENGAH,2021,nasa_power,seasonal_estimate,867012.77,182186.62
0.72,295.7,22.9,18.5,2.0,padi,110,5.167,low,SULAWESI SELATAN,2021,nasa_power,seasonal_estimate,5090637.23,985158.23
0.72,232.4,26.4,17.1,2.0,padi,110,4.157,medium,SULAWESI TENGGARA,2021,nasa_power,seasonal_estimate,530029.08,127517.29
0.72,235.8,25.9,18.4,2.0,padi,110,4.812,low,GORONTALO,2021,nasa_power,seasonal_estimate,234392.86,48713.5
0.72,258.8,20.6,17.1,2.0,padi,110,5.205,low,SULAWESI BARAT,2021,nasa_power,seasonal_estimate,311072.46,59763.18
0.72,226.2,26.8,16.6,2.0,padi,110,4.124,medium,MALUKU,2021,nasa_power,seasonal_estimate,116803.67,28319.75
0.72,246.2,27.0,18.0,2.0,padi,110,3.605,medium,MALUKU UTARA,2021,nasa_power,seasonal_estimate,28052.0,7782.0
0.72,293.4,23.4,16.8,2.0,padi,110,4.198,medium,PAPUA BARAT,2021,nasa_power,seasonal_estimate,26926.93,6414.94
0.72,217.9,23.2,16.2,2.0,padi,110,4.405,medium,PAPUA,2021,nasa_power,seasonal_estimate,286279.8,64984.9
0.72,270.2,19.5,16.7,2.0,padi,110,5.555,low,ACEH,2022,nasa_power,seasonal_estimate,1509456.46,271750.16
0.72,357.1,21.8,17.1,2.0,padi,110,5.076,low,SUMATERA UTARA,2022,nasa_power,seasonal_estimate,2088583.81,411462.1
0.72,367.9,23.3,17.2,2.0,padi,110,5.052,low,SUMATERA BARAT,2022,nasa_power,seasonal_estimate,1373532.19,271883.11
0.72,271.9,26.1,17.4,2.0,padi,110,4.183,medium,RIAU,2022,nasa_power,seasonal_estimate,213557.23,51054.04
0.72,239.1,26.0,16.4,2.0,padi,110,4.588,low,JAMBI,2022,nasa_power,seasonal_estimate,277743.83,60539.59
0.72,263.3,26.0,17.6,2.0,padi,110,5.406,low,SUMATERA SELATAN,2022,nasa_power,seasonal_estimate,2775069.26,513378.2
0.72,359.4,25.8,17.0,2.0,padi,110,4.927,low,BENGKULU,2022,nasa_power,seasonal_estimate,281610.09,57151.84
0.72,174.9,26.7,16.5,2.0,padi,110,5.187,low,LAMPUNG,2022,nasa_power,seasonal_estimate,2688159.74,518256.06
0.72,239.3,27.3,16.2,2.0,padi,110,4.066,medium,KEPULAUAN BANGKA BELITUNG,2022,nasa_power,seasonal_estimate,61425.07,15107.8
0.72,186.3,28.0,17.1,2.0,padi,110,2.824,high,KEPULAUAN RIAU,2022,nasa_power,seasonal_estimate,506.91,179.48
0.77,193.0,27.3,16.0,2.0,padi,110,4.898,low,DAERAH KHUSUS IBUKOTA JAKARTA,2022,nasa_power,seasonal_estimate,2337.77,477.25
0.77,281.0,21.5,16.8,2.0,padi,110,5.675,low,JAWA BARAT,2022,nasa_power,seasonal_estimate,9433723.0,1662403.0
0.77,212.1,25.8,17.1,2.0,padi,110,5.541,low,JAWA TENGAH,2022,nasa_power,seasonal_estimate,9356445.49,1688669.65
0.77,221.5,25.9,17.1,2.0,padi,110,5.064,low,DAERAH ISTIMEWA YOGYAKARTA,2022,nasa_power,seasonal_estimate,561699.53,110927.24
0.77,207.3,26.0,17.4,2.0,padi,110,5.626,low,JAWA TIMUR,2022,nasa_power,seasonal_estimate,9526515.67,1693210.7
0.77,217.7,25.5,16.0,2.0,padi,110,5.304,low,BANTEN,2022,nasa_power,seasonal_estimate,1788582.6,337240.74
0.77,183.2,25.3,19.1,2.0,padi,110,6.059,low,BALI,2022,nasa_power,seasonal_estimate,680601.6,112320.62
0.72,129.0,26.3,19.8,2.0,padi,110,5.379,low,NUSA TENGGARA BARAT,2022,nasa_power,seasonal_estimate,1452945.47,270092.88
0.72,184.0,26.6,20.0,2.0,padi,110,4.129,medium,NUSA TENGGARA TIMUR,2022,nasa_power,seasonal_estimate,756049.91,183091.99
0.72,348.0,25.9,17.4,2.0,padi,110,3.028,high,KALIMANTAN BARAT,2022,nasa_power,seasonal_estimate,731226.0,241479.0
0.72,279.2,26.8,17.4,2.0,padi,110,3.178,high,KALIMANTAN TENGAH,2022,nasa_power,seasonal_estimate,343918.75,108226.75
0.72,280.3,26.6,16.4,2.0,padi,110,3.813,medium,KALIMANTAN SELATAN,2022,nasa_power,seasonal_estimate,819419.0,214908.91
0.72,241.5,25.7,17.3,2.0,padi,110,3.685,medium,KALIMANTAN TIMUR,2022,nasa_power,seasonal_estimate,239425.34,64970.01
0.72,249.2,23.1,17.6,2.0,padi,110,3.549,medium,KALIMANTAN UTARA,2022,nasa_power,seasonal_estimate,30533.59,8604.19
0.72,209.3,24.5,18.2,2.0,padi,110,4.188,medium,SULAWESI UTARA,2022,nasa_power,seasonal_estimate,243730.0,58196.0
0.72,219.4,21.7,16.9,2.0,padi,110,4.405,medium,SULAWESI TENGAH,2022,nasa_power,seasonal_estimate,744408.7,168993.18
0.72,307.4,23.0,18.4,2.0,padi,110,5.164,low,SULAWESI SELATAN,2022,nasa_power,seasonal_estimate,5360169.37,1038084.29
0.72,223.7,26.5,17.4,2.0,padi,110,4.05,medium,SULAWESI TENGGARA,2022,nasa_power,seasonal_estimate,478958.03,118259.0
0.72,236.4,26.0,18.2,2.0,padi,110,5.129,low,GORONTALO,2022,nasa_power,seasonal_estimate,240134.53,46823.47
0.72,269.0,20.5,16.8,2.0,padi,110,5.099,low,SULAWESI BARAT,2022,nasa_power,seasonal_estimate,353513.29,69323.95
0.72,258.4,26.9,16.9,2.0,padi,110,3.86,medium,MALUKU,2022,nasa_power,seasonal_estimate,92601.06,23987.82
0.72,238.7,27.1,17.7,2.0,padi,110,3.816,medium,MALUKU UTARA,2022,nasa_power,seasonal_estimate,24486.0,6416.0
0.72,278.7,23.5,17.1,2.0,padi,110,4.388,medium,PAPUA BARAT,2022,nasa_power,seasonal_estimate,23963.92,5461.0
0.72,195.1,23.3,16.2,2.0,padi,110,3.899,medium,PAPUA,2022,nasa_power,seasonal_estimate,193943.47,49741.91
0.72,250.7,20.1,16.8,2.0,padi,110,5.522,low,ACEH,2023,nasa_power,seasonal_estimate,1404234.82,254287.38
0.72,324.9,22.4,16.8,2.0,padi,110,5.14,low,SUMATERA UTARA,2023,nasa_power,seasonal_estimate,2087474.15,406109.49
0.72,285.3,23.8,16.4,2.0,padi,110,4.932,low,SUMATERA BARAT,2023,nasa_power,seasonal_estimate,1482468.79,300564.77
0.72,273.7,26.5,16.7,2.0,padi,110,3.968,medium,RIAU,2023,nasa_power,seasonal_estimate,205972.55,51914.14
0.72,199.2,26.5,16.1,2.0,padi,110,4.506,low,JAMBI,2023,nasa_power,seasonal_estimate,275941.45,61236.64
0.72,174.1,26.4,17.5,2.0,padi,110,5.619,low,SUMATERA SELATAN,2023,nasa_power,seasonal_estimate,2832773.92,504143.03
0.72,185.0,26.0,16.8,2.0,padi,110,4.953,low,BENGKULU,2023,nasa_power,seasonal_estimate,286684.43,57877.18
0.72,150.9,27.4,17.3,2.0,padi,110,5.203,low,LAMPUNG,2023,nasa_power,seasonal_estimate,2757898.19,530108.09
0.72,152.6,27.9,17.6,2.0,padi,110,4.349,medium,KEPULAUAN BANGKA BELITUNG,2023,nasa_power,seasonal_estimate,66468.89,15284.56
0.72,148.6,28.3,17.7,2.0,padi,110,2.811,high,KEPULAUAN RIAU,2023,nasa_power,seasonal_estimate,324.01,115.27
0.77,133.5,27.8,17.5,2.0,padi,110,4.926,low,DAERAH KHUSUS IBUKOTA JAKARTA,2023,nasa_power,seasonal_estimate,2674.28,542.93
0.77,186.4,21.8,18.5,2.0,padi,110,5.771,low,JAWA BARAT,2023,nasa_power,seasonal_estimate,9140039.0,1583656.0
0.77,140.0,26.4,18.9,2.0,padi,110,5.53,low,JAWA TENGAH,2023,nasa_power,seasonal_estimate,9084107.53,1642761.23
0.77,152.8,25.9,18.9,2.0,padi,110,5.053,low,DAERAH ISTIMEWA YOGYAKARTA,2023,nasa_power,seasonal_estimate,534113.69,105693.66
0.77,195.6,27.1,19.3,2.0,padi,110,5.719,low,JAWA TIMUR,2023,nasa_power,seasonal_estimate,9710661.33,1698083.31
0.77,149.0,26.0,17.5,2.0,padi,110,5.419,low,BANTEN,2023,nasa_power,seasonal_estimate,1686483.29,311200.0
0.77,116.4,25.2,20.7,2.0,padi,110,6.207,low,BALI,2023,nasa_power,seasonal_estimate,673580.65,108514.06
0.72,91.3,26.6,21.2,2.0,padi,110,5.351,low,NUSA TENGGARA BARAT,2023,nasa_power,seasonal_estimate,1538536.92,287512.14
0.72,128.2,26.8,20.9,2.0,padi,110,4.152,medium,NUSA TENGGARA TIMUR,2023,nasa_power,seasonal_estimate,766810.46,184698.89
0.72,289.9,26.2,17.4,2.0,padi,110,3.125,high,KALIMANTAN BARAT,2023,nasa_power,seasonal_estimate,700291.0,224069.0
0.72,219.8,27.2,17.2,2.0,padi,110,3.256,high,KALIMANTAN TENGAH,2023,nasa_power,seasonal_estimate,330781.05,101580.3
0.72,177.7,27.2,17.7,2.0,padi,110,4.086,medium,KALIMANTAN SELATAN,2023,nasa_power,seasonal_estimate,875545.73,214283.82
0.72,182.9,26.1,17.1,2.0,padi,110,3.976,medium,KALIMANTAN TIMUR,2023,nasa_power,seasonal_estimate,226972.07,57082.0
0.72,247.1,23.6,17.8,2.0,padi,110,3.631,medium,KALIMANTAN UTARA,2023,nasa_power,seasonal_estimate,23602.11,6500.0
0.72,138.4,24.9,19.6,2.0,padi,110,4.365,medium,SULAWESI UTARA,2023,nasa_power,seasonal_estimate,238193.41,54562.95
0.72,163.2,22.0,17.2,2.0,padi,110,4.622,low,SULAWESI TENGAH,2023,nasa_power,seasonal_estimate,821367.41,177699.03
0.72,196.5,23.2,19.2,2.0,padi,110,5.039,low,SULAWESI SELATAN,2023,nasa_power,seasonal_estimate,4876386.11,967790.21
0.72,122.9,27.0,18.3,2.0,padi,110,4.208,medium,SULAWESI TENGGARA,2023,nasa_power,seasonal_estimate,479407.25,113930.26
0.72,137.8,26.4,19.6,2.0,padi,110,5.068,low,GORONTALO,2023,nasa_power,seasonal_estimate,251431.76,49610.47
0.72,158.0,21.0,17.8,2.0,padi,110,4.973,low,SULAWESI BARAT,2023,nasa_power,seasonal_estimate,291458.59,58606.67
0.72,165.7,26.9,17.8,2.0,padi,110,3.532,medium,MALUKU,2023,nasa_power,seasonal_estimate,79958.34,22636.68
0.72,147.5,27.3,19.1,2.0,padi,110,3.459,medium,MALUKU UTARA,2023,nasa_power,seasonal_estimate,26663.0,7709.0
0.72,245.9,23.5,16.9,2.0,padi,110,4.508,low,PAPUA BARAT,2023,nasa_power,seasonal_estimate,22566.81,5006.27
0.72,245.9,23.5,16.9,2.0,padi,110,4.133,medium,PAPUA BARAT,2023,nasa_power,seasonal_estimate,2397.0,580.0
0.72,181.0,23.3,15.7,2.0,padi,110,4.476,low,PAPUA,2023,nasa_power,seasonal_estimate,3760.45,840.18
0.72,325.6,26.0,16.6,2.0,padi,110,4.098,medium,PAPUA SELATAN,2023,nasa_power,seasonal_estimate,183628.0,44808.0
0.72,264.6,19.3,17.0,2.0,padi,110,4.428,low,PAPUA TENGAH,2023,nasa_power,seasonal_estimate,9273.0,2094.0
0.72,166.0,13.9,17.5,2.0,padi,110,4.429,low,PAPUA PEGUNUNGAN,2023,nasa_power,seasonal_estimate,62.0,14.0
0.72,238.0,20.5,17.3,2.0,padi,110,5.511,low,ACEH,2024,nasa_power,seasonal_estimate,1659966.28,301196.35
0.72,348.3,22.6,17.0,2.0,padi,110,5.256,low,SUMATERA UTARA,2024,nasa_power,seasonal_estimate,2204875.51,419463.48
0.72,364.9,24.2,16.6,2.0,padi,110,4.594,low,SUMATERA BARAT,2024,nasa_power,seasonal_estimate,1356467.93,295278.98
0.72,271.1,26.9,16.7,2.0,padi,110,3.936,medium,RIAU,2024,nasa_power,seasonal_estimate,222055.71,56421.96
0.72,209.3,26.9,16.2,2.0,padi,110,4.56,low,JAMBI,2024,nasa_power,seasonal_estimate,281022.05,61625.68
0.72,249.0,26.8,17.6,2.0,padi,110,5.583,low,SUMATERA SELATAN,2024,nasa_power,seasonal_estimate,2909411.67,521092.21
0.72,346.6,26.7,17.0,2.0,padi,110,4.892,low,BENGKULU,2024,nasa_power,seasonal_estimate,272848.55,55775.09
0.72,179.6,27.8,16.5,2.0,padi,110,5.25,low,LAMPUNG,2024,nasa_power,seasonal_estimate,2791347.53,531715.12
0.72,189.6,28.2,17.0,2.0,padi,110,4.257,medium,KEPULAUAN BANGKA BELITUNG,2024,nasa_power,seasonal_estimate,77489.79,18202.56
0.72,146.2,28.7,17.4,2.0,padi,110,2.692,high,KEPULAUAN RIAU,2024,nasa_power,seasonal_estimate,305.09,113.33
0.77,196.6,28.1,16.5,2.0,padi,110,4.629,low,DAERAH KHUSUS IBUKOTA JAKARTA,2024,nasa_power,seasonal_estimate,2306.54,498.31
